wavelength,Grass,Conifer,Deciduous,Snow,Soil,Water,Conrete
0.702,11.099,12.549,12.877,94.85,26.4219,2.0328,30.67
0.704,12.49,13.956,14.511,94.75,26.4757,2.0314,30.69
0.706,14.113,15.525,16.23,94.7,26.7075,2.0294,30.71
0.708,15.674,17.241,18.082,94.6,26.7426,2.0275,30.74
0.71,17.197,18.894,19.917,94.55,27.1547,2.026,30.77
0.712,18.675,20.637,21.815,94.45,27.0977,2.0246,30.79
0.714,20.243,22.514,23.842,94.35,27.1447,2.0227,30.81
0.716,21.793,24.336,25.85,94.25,27.7059,2.0216,30.83
0.718,23.376,26.212,27.913,94.14,27.7343,2.0193,30.86
0.72,25.036,28.261,30.123,94.14,27.8066,2.0169,30.87
0.722,26.632,30.196,32.124,94.1,27.9093,2.0151,30.89
0.724,28.417,31.972,33.981,94.03,28.055,2.0127,30.92
0.726,30.119,33.923,36.068,94,28.4571,2.0105,30.95
0.728,31.709,35.648,37.832,94,28.4194,2.0077,30.96
0.73,33.283,37.232,39.395,93.97,28.5999,2.0055,30.98
0.732,34.914,38.896,41.085,93.9,28.8477,2.0033,31.00
0.734,36.304,40.341,42.611,93.83,28.8082,2.0029,31.02
0.736,37.55,41.613,43.94,93.76,28.8948,2.0021,31.04
0.738,38.774,42.843,45.179,93.68,29.1427,2.0018,31.07
0.74,39.914,43.986,46.328,93.62,29.4947,2.0011,31.08
0.742,41.046,44.894,47.254,93.5,29.4837,2.0009,31.09
0.744,42.119,45.754,48.163,93.38,29.3871,2.0007,31.12
0.746,42.954,46.44,48.987,93.27,29.4643,2.0001,31.14
0.748,43.695,46.984,49.606,93.15,29.8268,2,31.15
0.75,44.385,47.511,50.184,93.06,30.1213,1.9958,31.17
0.752,44.958,48.005,50.671,93,30.1016,1.9957,31.18
0.754,45.419,48.409,51.056,92.8,30.1291,1.9956,31.19
0.756,45.802,48.724,51.384,92.7,30.2771,1.9955,31.20
0.758,46.111,48.96,51.668,92.6,30.5034,1.9954,31.21
0.76,46.323,49.12,51.889,92.5,30.737,1.9953,31.22
0.762,46.53,49.281,52.067,92.4,30.6539,1.9952,31.24
0.764,46.748,49.448,52.245,92.3,30.8324,1.9951,31.26
0.766,46.966,49.582,52.398,92.2,31.1256,1.995,31.27
0.768,47.151,49.708,52.553,92.1,31.0799,1.9949,31.27
0.77,47.291,49.871,52.763,91.85,31.3926,1.9948,31.28
0.772,47.387,50.014,52.942,91.75,31.3308,1.9931,31.30
0.774,47.493,50.108,53.032,91.65,31.4535,1.9914,31.31
0.776,47.573,50.174,53.057,91.54,31.4325,1.9897,31.32
0.778,47.61,50.254,53.057,91.44,31.5147,1.988,31.35
0.78,47.652,50.329,53.147,91.19,31.8692,1.9863,31.35
0.782,47.723,50.409,53.303,91.15,31.8692,1.9846,31.36
0.784,47.798,50.457,53.478,91,31.9239,1.9829,31.37
0.786,47.88,50.481,53.595,90.75,31.9982,1.9812,31.38
0.788,47.96,50.554,53.699,90.5,32.1354,1.9795,31.38
0.79,48.016,50.586,53.804,90.39,32.4285,1.9778,31.39
0.792,48.067,50.609,53.809,90.3,32.5304,1.9761,31.41
0.794,48.147,50.608,53.746,90.2,32.3845,1.9744,31.40
0.796,48.245,50.591,53.702,90.1,32.2416,1.9727,31.41
0.798,48.347,50.651,53.784,90.05,32.3473,1.971,31.42
0.8,48.432,50.742,53.9,90.07,32.5918,1.9693,31.42
0.82,48.909,51.039,54.503,89.9,33.1861,1.9676,31.47
0.84,49.366,51.353,54.752,89.77,33.3914,1.9659,31.52
0.86,49.974,51.672,55.146,88.07,33.9057,1.9659,31.60
0.88,50.42,51.686,55.395,85.48,34.3813,1.9659,31.85
0.9,50.79,51.544,55.386,83.99,35.1108,1.9659,32.09
0.92,51.061,51.39,55.393,83.38,35.3993,1.9659,32.20
0.94,50.744,50.36,54.772,82.3,36.6561,1.9643,32.43
0.96,49.742,48.199,53.139,79.77,37.0128,1.9627,32.48
0.98,49.516,47.986,53.188,76.17,37.7343,1.9611,32.62
1,50.115,48.746,53.858,72.48,38.1602,1.9595,32.80
1.02,50.945,49.944,54.774,68.66,39.3055,1.9579,33.00
1.04,51.813,51.211,55.742,67.99,39.2041,1.9563,33.18
1.06,52.487,52.378,56.891,70.82,40.2769,1.9547,33.40
1.08,52.411,52.485,56.739,72.43,40.6504,1.9531,33.61
1.1,52.243,51.966,56.472,72.89,41.5088,1.9515,33.85
1.12,51.859,50.624,55.134,72.37,42.2505,1.9499,34.08
1.14,50.372,45.824,51.409,70.02,42.5699,1.9483,34.28
1.16,47.896,43.231,49.535,66.23,43.2602,1.9467,34.46
1.18,46.524,42.131,48.935,60.14,43.7771,1.9451,34.69
