lambda (nm), TOA Flux (W/m2/nm)
3807.5,0.01041645
3812.5,0.01037455
3817.5,0.01032528
3822.5,0.01027517
3827.5,0.01022969
3832.5,0.01018451
3837.5,0.01014206
3842.5,0.01009105
3847.5,0.0100332
3852.5,0.009979741
3857.5,0.009933594
3862.5,0.00988474
3867.5,0.009826772
3872.5,0.009774348
3877.5,0.009724426
3882.5,0.009676102
3887.5,0.009634078
3892.5,0.009590914
3897.5,0.00954328
3902.5,0.009497416
3907.5,0.009459428
3912.5,0.009414052
3917.5,0.009369621
3922.5,0.009328136
3927.5,0.009281633
3932.5,0.009230101
3937.5,0.009177182
3942.5,0.009127007
3947.5,0.00907991
3952.5,0.009034804
3957.5,0.008989809
3962.5,0.008942688
3967.5,0.008893529
3972.5,0.00884931
3977.5,0.008803648
3982.5,0.008756796
3987.5,0.008715307
3992.5,0.008672216
3997.5,0.008621467
4002.5,0.008573811
4007.5,0.008538377
4012.5,0.008502779
4017.5,0.008470847
4022.5,0.008436608
4027.5,0.008388593
4032.5,0.008321747
4037.5,0.00827365
4042.5,0.008240077
4047.5,0.008194121
4052.5,0.008153032
4057.5,0.008116283
4062.5,0.008078316
4067.5,0.008043979
4072.5,0.008023848
4077.5,0.008010431
4082.5,0.007976587
4087.5,0.007947206
4092.5,0.007910971
4097.5,0.007874003
4102.5,0.007838116
4107.5,0.00780418
4112.5,0.007772075
4117.5,0.007736891
4122.5,0.007699585
4127.5,0.007658538
4132.5,0.007621274
4137.5,0.007588386
4142.5,0.007553285
4147.5,0.007516754
4152.5,0.007478387
4157.5,0.007442469
4162.5,0.007406112
4167.5,0.007373086
4172.5,0.007341034
4177.5,0.007307733
4182.5,0.007263483
4187.5,0.007220574
4192.5,0.007186462
4197.5,0.007156131
4202.5,0.007125923
4207.5,0.007096199
4212.5,0.0070656
4217.5,0.007036682
4222.5,0.007004729
4227.5,0.006980244
4232.5,0.006956956
4237.5,0.006926164
4242.5,0.006895259
4247.5,0.006863174
4252.5,0.006831841
4257.5,0.00680046
4262.5,0.006768692
4267.5,0.006741068
4272.5,0.006701114
4277.5,0.006639397
4282.5,0.006590133
4287.5,0.006544659
4292.5,0.006501722
4297.5,0.006457861
4302.5,0.006415899
4307.5,0.006375044
4312.5,0.006332751
4317.5,0.006299482
4322.5,0.006290473
4327.5,0.006259532
4332.5,0.00621069
4337.5,0.006168607
4342.5,0.006125734
4347.5,0.00608599
4352.5,0.006044123
4357.5,0.006006503
4362.5,0.005970499
